Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
05.10.2020.|08:30-10:00|O-365|Uvod u predmet. Uvod u e-učenje|P||prof. dr.sc. Nataša Hoić-Božić
12.10.2020.||online|Mješovito učenje|P+V||prof. dr.sc. Nataša Hoić-Božić
19.10.2020.||online|Učenje na daljinu|P+V||prof. dr.sc. Nataša Hoić-Božić
26.10.2020.||online|MOOCPočetak wiki analize online tečaja|P+V||prof. dr.sc. Nataša Hoić-Božić
02.11.2020.||online|MOOCAnaliza online tečajeva|dz|20|prof. dr.sc. Nataša Hoić-Božić
09.11.2020.||online|Primjena IKT za obrazovanje 1. dio|P+V||prof. dr.sc. Nataša Hoić-Božić
16.11.2020.||online|Primjena IKT za obrazovanje 2. dio|P+V||prof. dr.sc. Nataša Hoić-Božić
23.11.2020.|08:30-10:00|O-365|Provjera znanja|kv|20|prof. dr.sc. Nataša Hoić-Božić
30.11.2020.||online|Pedagoški i psihološki aspekti e-obrazovanja|P+V||prof. dr.sc. Nataša Hoić-Božić
07.12.2020.||online|Vrednovanje u e-okruženju|P+V||prof. dr.sc. Nataša Hoić-Božić
14.12.2020.||online|Komunikacija, pružanje podrške i online moderiranje. Diskusija u forumu|r|10|prof. dr.sc. Nataša Hoić-Božić
21.12.2020.||online|Izrada e-tečaja prema ADDIE metodologiji|P+V||prof. dr.sc. Nataša Hoić-Božić
11.01.2021.||online|Moodle LMS Početak izrade e-tečaja|P+V||prof. dr.sc. Nataša Hoić-Božić
18.01.2021.||online|Nastavak izrade e-tečaja|P+V||prof. dr.sc. Nataša Hoić-Božić
25.01.2021.||online|Završetak izrade e-tečaja|P+V||prof. dr.sc. Nataša Hoić-Božić
08.02.2021.|00:00-23:59|online|Završni ispit (1. redoviti rok)|Z|40|prof. dr.sc. Nataša Hoić-Božić
22.02.2021.|00:00-23:59|online|Završni ispit (2. redoviti rok)|Z||prof. dr.sc. Nataša Hoić-Božić
08.03.2020.|00:00-23:59|online|Završni ispit (1. izvanredni rok)|Z||prof. dr.sc. Nataša Hoić-Božić
06.09.2020.|00:00-23:59|online|Završni ispit (2. izvanredni rok)|Z||prof. dr.sc. Nataša Hoić-Božić
|00:00-23:59|online|Korištenje sustava za učenje|a|10|prof. dr.sc. Nataša Hoić-Božić
